id,car,corvette,c1,c2,c3,c4,c5,c6,c7,c8,classification
cars_1_0_0_ (1).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (10).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (100).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1000).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1001).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1002).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1003).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1004).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1005).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1006).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1007).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1008).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1009).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (101).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1010).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1011).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1012).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1013).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1014).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1015).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1016).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1017).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1018).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1019).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (102).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1020).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1021).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1022).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1023).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1024).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1025).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1026).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1027).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1028).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1029).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (103).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1030).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1031).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1032).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1033).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1034).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1035).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1036).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1037).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1038).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1039).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (104).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1040).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1041).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1042).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1043).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1044).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
cars_1_0_0_ (1045).jpg,1,0,0,0,0,0,0,0,0,0,"['car', 'not_corvette']"
